,5%,95%,Odds Ratio
Intercept,20.82191840348232,26.144496391964307,23.331921707686632
C(Sexo)[T.2],2.332505616121401,2.539726807291255,2.4339118803730195
C(Raca)[T.2],0.6857869449818486,0.779197239437675,0.7310015693363819
C(Raca)[T.3],0.7142811481203467,1.2197779090714163,0.9334154302042403
C(Raca)[T.4],0.6826031964178257,0.7466851947986728,0.7139255568246881
C(Raca)[T.5],0.32940662307269464,0.48948494981081053,0.40154649090994
C(Raca)[T.9],0.19108023628348764,11.313683893263496,1.4703133650897273
C(Regiao)[T.Nordeste],0.7069594079330005,0.8071786822679843,0.7554088716134553
C(Regiao)[T.Norte],0.6937314667450701,0.8049927515132334,0.7472943210184493
C(Regiao)[T.Sudeste],1.1033120662230769,1.2686431819613817,1.1830931199147559
C(Regiao)[T.Sul],1.0096629702716196,1.1792205417821693,1.0911532041015568
log_renda,1.2818457321503487,1.303924242501301,1.292837857311453
Idade,0.9486795893786922,0.9512583020153076,0.9499680706997231
